comp_id,bioactivity,data_split,smiles
CHEMBL1243060,0,test,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCN(c3ccncc3)CC2)C(=O)N1
CHEMBL1243061,0,test,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CC=C(c3ccc(Cl)cc3)CC2)C(=O)N1
CHEMBL1243091,0,test,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCCC2)C(=O)N1
CHEMBL1243092,0,test,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCCCC2)C(=O)N1
CHEMBL1243093,0,test,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)Nc2ccccc2)C(=O)N1
CHEMBL1243126,0,train,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1
CHEMBL1243127,0,train,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(Cl)cc3C2)C(=O)N1
CHEMBL1243153,0,train,N#C[C@@H]1CC(F)(F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1
CHEMBL1243154,0,test,O=C1N[C@H](C(=O)N2CCSC2)C[C@H]1CC(=O)N1Cc2ccccc2C1
CHEMBL1243183,0,train,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1
CHEMBL1243184,1,train,O=C1N[C@H](C(=O)N2CCC[C@H]2B(O)O)C[C@H]1CC(=O)N1Cc2ccccc2C1
CHEMBL1243215,0,train,CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1
CHEMBL1243216,0,train,NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1
CHEMBL1243248,0,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC(CC(=O)N2Cc3ccccc3C2)C(=O)N1
CHEMBL1243372,1,test,N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCN1Cc2ccccc2C1=O
CHEMBL1243373,1,validation,O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccc2ccccc12
CHEMBL1243374,0,validation,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1cccc2ccccc12
CHEMBL1243402,0,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1
CHEMBL1243403,0,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1
CHEMBL1270560,0,train,COc1ccccc1-c1cn2c(-c3ccc(Cl)cc3)c(CN)c(C)nc2n1
CHEMBL1270657,0,train,COc1ccccc1-c1cn2c(-c3ccccc3)c(CN)c(C)nc2n1
CHEMBL1270757,0,train,COc1ccccc1-c1cn2c(-c3cccc(Cl)c3)c(CN)c(C)nc2n1
CHEMBL1270758,0,train,COc1ccccc1-c1cn2c(-c3c(Cl)cccc3Cl)c(CN)c(C)nc2n1
CHEMBL1270859,0,train,COc1ccccc1-c1cn2c(-c3ccc(Cl)c(Cl)c3)c(CN)c(C)nc2n1
CHEMBL1270860,0,train,COc1ccccc1-c1cn2c(-c3cccc(F)c3)c(CN)c(C)nc2n1
CHEMBL1270961,0,train,COc1ccccc1-c1cn2c(-c3ccc(Cl)c(F)c3)c(CN)c(C)nc2n1
CHEMBL1270962,0,train,COc1ccccc1-c1cn2c(-c3ccc(C)c(F)c3)c(CN)c(C)nc2n1
CHEMBL1271065,0,train,COc1ccccc1-c1cn2c(-c3ccc(C(F)(F)F)c(F)c3)c(CN)c(C)nc2n1
CHEMBL1271066,0,train,COc1ccccc1-c1cn2c(-c3ccc(Cl)c(C(F)(F)F)c3)c(CN)c(C)nc2n1
CHEMBL1271170,0,train,COc1ccccc1-c1cn2c(-c3c(C)cc(C)cc3C)c(CN)c(C)nc2n1
CHEMBL1271171,0,train,COc1ccccc1-c1cn2c(-c3c(F)cc(C)cc3F)c(CN)c(C)nc2n1
CHEMBL1271270,0,train,COc1ccccc1-c1cn2c(-c3c(Cl)cc(Cl)cc3Cl)c(CN)c(C)nc2n1
CHEMBL1422,0,train,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
CHEMBL142703,1,train,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2
CHEMBL1650403,0,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nccc1=O
CHEMBL1650404,0,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(F)c1=O
CHEMBL1650405,0,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(Cl)c1=O
CHEMBL1650406,0,train,Cc1nc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c(=O)c1Br
CHEMBL1650408,0,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(I)c1=O
CHEMBL1650409,0,train,Cc1nc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c(=O)c1C
CHEMBL1650411,0,train,COc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
CHEMBL1650412,0,test,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc(-c2ccccc2)cc1=O
CHEMBL1650414,0,validation,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccccc2)c1=O
CHEMBL1650416,0,validation,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccccc2F)c1=O
CHEMBL1650418,0,validation,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccoc2)c1=O
CHEMBL1650419,0,validation,Cc1nc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c(=O)c1-c1ccoc1
CHEMBL1650420,0,test,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2cc[nH]c2)c1=O
CHEMBL1650422,0,train,C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
CHEMBL1650423,0,train,CC#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
CHEMBL1650424,0,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(C#CCO)c1=O
CHEMBL1650426,0,train,C=Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
CHEMBL1650427,0,validation,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2ccccc2)c1=O
CHEMBL1650428,0,validation,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2ccc(F)cc2)c1=O
CHEMBL1650429,0,test,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2cccnc2)c1=O
CHEMBL1650430,0,test,N#Cc1ccsc1Cn1c(N2CCC[C@@H](N)C2)ncc(Br)c1=O
CHEMBL1650432,0,train,N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)ncc(F)c1=O
CHEMBL1650433,0,train,N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)ncc(Cl)c1=O
CHEMBL1650434,0,train,N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)ncc(Br)c1=O
CHEMBL1650435,0,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)cc(=O)[nH]c1=O
CHEMBL1650438,0,train,N[C@@H]1CCCN(c2cc(=O)[nH]c(=O)n2Cc2ccccc2Br)C1
CHEMBL1650439,0,train,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2Br)c1=O
CHEMBL1650440,0,train,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2Br)c1=O
CHEMBL1650441,0,train,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2Cl)c1=O
CHEMBL1650443,0,train,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O
CHEMBL1650444,0,train,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(Cl)ccc2Cl)c1=O
CHEMBL1650449,0,train,Cn1c(=O)cc(N2CCC[C@@](C)(N)C2)n(Cc2cc(F)ccc2C#N)c1=O
CHEMBL1651763,0,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2sccc2c1=O
CHEMBL1651764,0,train,Cc1csc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c12
CHEMBL1651765,0,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2scc(C(F)(F)F)c2c1=O
CHEMBL1651766,0,validation,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccsc2c1=O
CHEMBL1651767,0,validation,Cc1csc2c(=O)n(Cc3ccccc3C#N)c(N3CCC[C@@H](N)C3)nc12
CHEMBL1672127,0,train,CCc1nc(CC(C)(C)C)c(CN)c(-c2ccc(C)cc2)c1CC(=O)O.O
CHEMBL1681802,0,validation,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1
CHEMBL1682974,1,test,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1
